the,1224
thor,756
a,545
to,515
and,474
of,436
you,305
i,292
is,271
in,269
loki,211
his,198
-,186
on,186
hela,163
he,159
hulk,155
it,141
(cont'd),141
that,139
blue,129
05/20/16,127
are,127
draft,127
banner,125
this,123
with,118
up,117
valkyrie,117
her,114
at,111
we,110
for,108
out,108
but,101
into,98
as,98
what,90
it's,90
my,88
like,85
i'm,84
grandmaster,83
all,82
him,81
from,76
back,74
off,70
she,69
not,68
looks,68
me,67
odin,67
just,66
ext.,66
have,65
int.,65
then,64
you're,64
be,63
skurge,62
an,61
heimdall,61
through,61
down,60
so,60
ship,60
you.,59
see,59
one,58
continuous,56
your,56
they,55
he's,54
val,54
korg,53
no,52
has,52
don't,49
asgard,49
omitted,49
was,49
now,47
get,46
do,45
him.,44
where,42
over,42
turns,41
by,41
thor's,41
know,40
who,39
it.,39
strange,38
about,37
here,37
around,36
surtur,36
need,35
that's,35
can,35
day,34
them,34
actor,33
asgard.,33
going,32
scrapper,31
hela's,31
two,30
look,30
go,30
bridge,29
fire,29
towards,29
same,28
commodore,28
butchers,28
sees,28
behind,28
were,27
when,27
come,27
up.,26
me.,26
down.,26
time,26
grandmaster's,26
thor.,26
people,25
face,25
palace,25
away,24
right,24
there,24
sword,24
(v.o.),24
across,23
against,23
she's,23
ark,23
i've,23
stands,23
really,23
still,22
asgardian,22
if,22
our,22
will,22
their,22
trying,22
eyes,22
we're,21
been,21
suddenly,21
did,20
way,20
some,20
loki.,20
sakaarian,20
takes,20
would,19
stop,19
here.,19
reveal,19
i'll,19
mjolnir,19
doing,19
throne,19
another,18
no.,18
topaz,18
giant,18
looking,18
which,18
oh,18
even,18
its,18
hand,17
s142,17
or,17
help,17
these,17
before,17
take,17
hulk's,17
any,17
onto,16
well,16
#142,16
yeah,16
(then:),16
never,16
fight,16
on.,16
massive,16
her.,16
ground,16
them.,16
other,16
more,16
big,16
hard,15
think,15
rainbow,15
(to,15
holds,15
didn't,15
black,15
why,15
us,15
begins,15
want,15
could,15
surtur's,15
grabs,15
fenris,15
after,14
off.,14
mountain,14
does,14
tell,14
being,14
above,14
because,14
face.,14
okay,14
father,14
city,14
out.,14
say,14
little,14
crowd,14
there's,14
back.,14
only,14
good,13
quinjet,13
(o.s.),13
right.,13
while,13
power,13
gonna,13
had,13
hey,13
how,13
can't,13
find,13
steps,13
refugees,13
obedience,13
thought,13
notices,13
sakaar,13
hulk.,13
both,13
side,13
hits,13
wall.,12
walks,12
picks,12
(more),12
man,12
make,12
end,12
am,12
place.,12
hammer,12
god,12
got,12
gives,12
alien,12
runs,12
space,12
holding,12
loki's,12
always,12
lightning,12
odin's,12
gets,12
asgardians,12
begin,12
what's,12
away.,12
once,12
place,12
goes,12
throne.,11
room,11
let,11
starts,11
bi-frost,11
forward,11
feet,11
open,11
ground.,11
whole,11
voice,11
hands,11
hand.,11
huge,11
ships,11
approaches,11
very,11
banner.,11
than,11
head,11
hear,11
lands,11
go.,11
-the,11
something,11
first,11
banner's,11
wormhole,11
those,11
getting,11
thank,10
that.,10
each,10
eternal,10
this.,10
made,10
bridge.,10
arena,10
sun's,10
love,10
skurge.,10
asgard's,10
warsong,10
grandmaster.,10
himself,10
no!,10
far,10
great,10
few,10
doesn't,10
death.,10
fob,10
portal,10
dragon,10
last,10
hela.,10
(beat),10
again,10
front,10
bad,10
draws,10
guards,9
turn,9
taking,9
time.,9
thing,9
know.,9
long,9
observatory,9
family,9
weapons,9
ship.,9
joins,9
val's,9
hell,9
gladiator,9
beneath,9
together,9
fire.,9
feet.,9
coming,9
soothing,9
loki!,9
is.,9
sorry,9
call,9
battle,9
throws,9
fighting,9
access,9
should,9
moment,8
miek,8
feel,8
brother.,8
many,8
knocks,8
landing,8
sorry.,8
weird,8
wanna,8
drops,8
green,8
give,8
scrappers,8
used,8
attention,8
thunder,8
see-,8
they're,8
without,8
talking,8
you've,8
hey!,8
entire,8
wall,8
must,8
put,8
having,8
small,8
again.,8
mean,8
hold,8
home,8
gone.,8
every,8
hogun,8
nine,8
